song_id,title,artist_name,duration,year,tempo,key
SOOAUWY12A8C14301D,Althea Cooley,Mack and Jamie,27.6371,0,118.668,9
SOGUTKT12A8C1442E4,Merry-Go-Runaround,Bob Hope,147.722,2003,133.325,8
SOCORMS12A67AE124F,Devil's Daughter,Eric Burdon,262.97424,1988,80.031,5
SOPWHEV12AB017DC10,Don't Know How To Be,God Lives Underwater,215.40526,1995,169.966,2
SORWVEZ12A8C13C031,ONE WAY LOVE,An Cafe,276.13995,0,152.988,6
SOYHZYO12A8C1391D8,Yearning Just For You,Bob Wills,160.26077,0,88.301,2
SOLXDDC12A6701FBFD,I'm Back,Eminem,312.2673,2000,180.168,11
SOAOFAT12AB018975D,Sincerely,Don & Juan,148.16608,0,98.442,2
SOUJQJI12AB0183C80,Canción De Títeres,María Elena Walsh,114.80771,0,111.104,1
SOITIZR12A8C13BA50,Wartime Blues,Blind Lemon Jefferson,185.41669,1927,162.496,10
SOBEXVO12AB0180C53,O.T. (Skit),Cam'Ron,24.73751,2004,215.0,7
SOVLRKB12AC4687C3B,World Destruction (2005 Digital Remaster),Time Zone,233.63873,0,92.499,7
SOWMHFS12AB017F85E,Change Your Mind,KMD,239.12444,0,119.961,4
SOQUAKN12A8AE486C2,La Fruta Bomba,Fruko Y Sus Tesos,242.75546,2000,84.751,8
SOCZUUF12A58A7BE8C,Wildflower,Bon Jovi,253.83138,2005,93.044,7
SOIMAKW12AB01887BF,Dolores,The Merry Macs,194.84689,0,71.27,8
SOAGEUK12A8C137581,Only You,Nana Mouskouri,175.12444,1997,137.476,2
SOGEWLT12AB018A185,Theme From the Victors,Frank Chacksfield,142.65424,0,95.611,3
SOMQKIK12AB01824F5,Na Primeira Manhã,Alceu Valença,162.84689,1997,121.988,0
SOFCFGG12A6D4FB5F8,Covered (The Beauty Of Simplicity Album Version),Telecast,197.98159,0,84.951,4
SOBZUIG12A8AE48C94,Girl Tonite (featuring Trey Songz)  (Explicit Chopped & Screwed Version),Twista,259.70893,2005,124.734,1
SOGUUTM12A58A7AAD9,From the Gardner Meditations: African Tarantella,Stefon Harris,538.27873,2006,70.875,1
SOKLDSG12AB0188032,Song For Paul,Alex Gopher,164.0224,2007,80.012,4
SORKPES12A8C137BFA,I'd Rather Have Jesus,Loretta Lynn,161.48853,1965,79.181,8
SOWKNZT12AC4688FC9,Beautiful Lies,Eddie,317.962,0,153.942,7
SOTLKVX12A8C13BE9F,Alma De Metal,Bobby Pulido,216.31955,1999,100.252,9
SOBDGEJ12A8C13F71A,Miesten tähden,Rauni Pekkala,162.14159,1994,93.657,1
SOGRXZY12A8C139043,Thrill Me,Simply Red,303.96036,1991,93.975,2
SOASNQV12A8AE48819,Charly (Trip Into Drum And Bass Version) (Remastered),The Prodigy,312.86812,0,96.732,1
SOLRVTS12A8C139D5B,Werther - Lyric Drama in four Acts/Act III/Toute mon âme est là,Ramón Vargas;Vesselina Kasarova;Vladimir Jurowski,333.92281,0,158.715,6
SOUDEWA12AB018532F,Toby,The Chi Lites,170.70975,1974,149.394,8
SONWSOW12A8C13BC80,Danny's All-Star Joint (LP Version),Rickie Lee Jones,246.62159,1979,143.497,1
SOWDGVW12A8C13B9B7,Meteor Of War (Album Version),Rancid,81.10975,0,168.752,1
SOBHYLB12A8C1424C4,I Love No One But You,Don Gibson,169.63873,1991,123.531,4
SOILNCG12A6D4F9D6C,Tem Do de Mim (Live At El Matador_ San Francisco),Sergio Mendes,161.59302,0,179.609,7
SOCBUSG12AB0180568,Two Guitars Shuffle (take 1),Lonnie Brooks,351.73832,0,124.471,9
SOUGTLE12A8C14547F,Kangaroo Blues,Moon Mullican,173.24363,0,95.278,7
SOFPFTF12A8C14172C,Elementro,TEN MADISON,405.41995,2003,92.699,11
SOCRSPK12A8C142FF8,Listen,Mykill Miers,236.5122,0,91.16,11
SOXDBMM12A6D4F9C58,Arise_ My Love (Song Of Solomon),Michael Card,208.50893,0,93.542,9
SOSUVLO12A8AE487E6,Shame,Anna Abreu,205.45261,2007,143.864,4
SOHEWXI12AB018960E,Salvation,Chroma Key,160.31302,2004,120.091,4
SODUSRP12A6D4FA762,Till There Was You (John Creamer & Stephane K Remix),Rachael Starr,608.23465,2005,127.996,11
SOCYTTZ12A8C1316EC,What If I Forget The Champagne,Stanley Clarke,312.76363,1998,123.352,7
SOQMROZ12AF729B758,In Fate's Hands (Album Version),The Red Jumpsuit Apparatus,208.79628,2006,199.004,0
SOFUNWZ12AB01831A9,A história do incêndio do jequitibá de Carangola (Part 1),Hélio Ziskind,143.67302,0,128.636,6
SOKWBGF12AC3DFB033,East West,Thomas Battenstein,342.20363,0,134.132,5
SOWZVLJ12A58A7C2C8,Jesus_ Lover Of My Soul (Bonus Stereo Trax),Passion,253.41342,0,114.303,10
SOVTFUO12A6310D813,The Invasion (Aka Black Wa Da Da),Burning Spear,334.31465,0,146.392,9
SOIVZJD12AB0182EDD,Heal (The Separation) [PM Dawn Alt. Lead Mix],The Shamen,280.31955,1996,109.96,10
SOHKXAC12A58A7F6E5,IV,From Autumn To Ashes,147.64363,2002,97.169,4
SOKHYFG12A63110822,Rock The House (Explicit),Gorillaz,249.93914,2001,171.918,1
SOUEARP12A58A7D643,Tables Turn,Ann Nesby,243.01669,0,88.008,11
SOEFJXQ12A670200C8,Carol of the Bells (Album Version),Danny Wright,240.53506,0,95.995,7
SOHBHOE12AB01840A9,La petite boite en fer,Mademoiselle Sane,217.62567,0,63.154,11
SOMVAUS12AB017D665,Motivator,Midwest Product,301.73995,2003,141.002,10
SOMSPYS12A6D4FEDBB,Neglected,Marygold,225.09669,0,133.857,7
SOFZXTF12AB018D64B,This Ain't A Love Song,Bon Jovi,432.97914,1995,91.775,8
SOSAXES12AC3DF68E7,Dontchaletmecatchya,The Wiyos,186.30485,0,192.831,7
SOWWYDN12AB01825F7,Prospection,Henri Pousseur,298.73587,0,65.919,0
SOAWYUA12A8C144D4D,Louie Louie,Eddie and the Subtitles,143.98649,0,154.072,1
SOSXAMA12A8C133298,Good Texan,The Vaughan Brothers,262.29506,1990,142.372,9
SOGRPFI12A8C1349A6,Intro. & Hello Young Lovers (Live) (2000 Digital Remaster),Bobby Darin,124.9171,0,71.356,7
SOXPAGL12A8C13792D,Chase The Light,Dope Stars Inc.,233.22077,2006,154.998,11
SOEAASN12A58A7932D,Soul of Ethiopia,Oh No,110.57587,2009,128.116,3
SOKBIAI12AB0180E97,Smith & Wesson,Frenchy,246.17751,0,96.904,1
SOFHVPF12A8C134ED7,Angry Chair,Alice In Chains,262.47791,1992,111.239,5
SOPAZGG12AC3DF6DC1,Que Ves Por Tu Ventana,David Saylor,218.22649,0,121.9,7
SOGMYFZ12AC468ACED,Nadal De Luintra,Berrogüetto,242.62485,2000,99.546,2
SODHEVC12A58A81DA0,Talking During Sex (LP Version),Martin Lawrence,202.78812,0,61.863,11
SOWOMMS12A8AE499EB,Life is Love,NO-TONE ft.Inusa,396.7473,0,126.012,2
SOOABJR12A58A779B0,Bring Out Your Dead,Cadacross,217.93914,2002,92.608,4
SOXLEKB12A8C1338EE,Spawn (Again),Silverchair,207.56853,0,138.385,1
SOBMWTE12A8C13C2AF,The Modern Rome Burning,Anti-Flag,299.80689,2008,178.804,10
SOVZKIS12AF72A0A93,Vietnamese Baby,The New York Dolls,234.84036,1973,84.058,0
SOYIXMY12AF72A0734,Working On The Highway,Bruce Springsteen,191.99955,1984,183.709,0
SOOBTKZ12A58A7B0B0,I'll Be Glad,Elvin Bishop,335.69914,2005,100.173,0
SOUEILW12AF72A5701,Gaya's Dream,The Gathering,363.31057,0,87.797,0
SODWIDL12A6D4FA5F2,Anyone Who Had A Heart,Cal Tjader,200.12363,2003,118.596,10
SOOQPIK12A6701F1C5,Fortunate Fool,Jack Johnson,228.70159,2000,128.684,8
SOXXZFP12A8AE47061,The Pig,Showbread,197.79873,2008,110.235,10
SOIMRXV12A58A7F1B5,Trade It All PT2  (Early Fade Amended Version- Bonus Track) (featuring P. Diddy & Jagged Edge),Fabolous,246.33424,2003,96.708,6
SORYBLZ12AF72A4286,Nothing Matters Anymore,Showbread,252.21179,2009,164.963,9
SOFOXRS12AB017BD2E,Xin Bu Liao Qing,Fiona Sit,232.48934,0,99.977,5
SOKHMJO12AB01832DA,Wings Off Flies (2009 Digital Remaster),Nick Cave & The Bad Seeds,246.46485,0,103.145,4
SOEHDVV12A8C140A53,Canon In D Major (J. Pachelbel),Mariano Yanani,192.41751,0,126.273,2
SOFUNPG12A58A7F017,Friends Of All Races,Rocky Whatule,283.74159,0,96.591,0
SOWSIVF12AB018D3D1,Need To Shout,Architecture In Helsinki,249.28608,2005,139.999,9
SODKZLY12A8C13F228,Jane 5,EPMD,161.35791,1997,86.819,1
SOWZQFZ12AB018AC54,"non-existent track (part one: ""why don't you fuckin' remember anything ?"")",Aphasia,244.32281,2001,192.063,6
SOMWLTZ12AB0182E86,White Jetta,Casiotone For The Painfully Alone,197.25016,2009,180.094,1
SOFNHOT12A6D4FB296,Love Shines Through  (Dream Album Version),Michelle Tumes,232.22812,0,120.028,5
SOYYJNB12AB0184408,Suck My Blood,Beherit,266.89261,2009,149.069,2
SOPYDMS12A8C13676F,Brother Can You Spare A Dime (Album Version),Jim Kweskin with Samoa Wilson,325.35465,0,74.045,9
SOEEANS12AB0184A71,The Sound Of Music - [High Wycombe Town Hall Live 13 July 1979] (Sound Check),Joy Division,245.34159,0,117.339,1
SOBRDLW12AC468A908,She Don't Belong To You,Sue Foley,224.65261,1998,105.21,7
SOBJVKE12A8AE44914,Q1.1 Edit,Basic Channel,62.92853,1995,160.546,10
